customer_id,age,gender,location,income_level,tenure,call_duration,num_calls,complaints,satisfaction_score,support_tickets,purchase_history,avg_purchase_value,total_spent,last_purchase_date,preferred_category,discount_usage,website_visits,click_through_rate,email_opens,ad_clicks,upsell_accepted
CUST1000,40,Female,Lake Kimberlyburgh,High,81,5.02,3,0,8,2,11,4133,17349,2024-05-07,Grocery,4,27,0.65,13,16,1
CUST1001,20,Female,Port Pamela,Medium,98,5.85,3,4,6,3,10,4695,30609,2025-05-18,Home,6,26,0.5,4,20,0
CUST1002,43,Other,Ryanfort,High,26,4.43,2,0,1,0,30,3455,12379,2024-04-14,Grocery,19,3,0.05,35,22,1
CUST1003,42,Male,East Franciscoshire,Low,115,3.69,2,3,6,3,21,512,38385,2024-06-05,Services,15,59,0.15,13,1,0
CUST1004,45,Female,Barbaraton,Medium,73,7.71,3,1,5,1,38,642,46100,2025-08-22,Fashion,3,89,0.89,44,0,1
CUST1005,63,Male,Lake John,Medium,64,4.72,2,1,9,3,4,584,39395,2025-07-15,Services,12,54,0.98,9,26,0
CUST1006,68,Male,Graceview,Medium,119,5.28,3,1,2,2,7,3182,25892,2024-07-13,Services,7,74,0.08,31,21,1
CUST1007,30,Other,South April,High,59,7.32,4,0,7,5,9,3913,14110,2024-11-09,Services,0,24,0.76,44,1,0
CUST1008,52,Male,Larsenmouth,Medium,60,5.57,3,1,2,4,48,4444,36721,2025-03-26,Home,11,52,0.45,45,6,1
CUST1009,50,Female,Amytown,Low,69,2.64,3,3,3,3,12,1134,22436,2025-04-16,Grocery,4,74,0.92,0,12,0
CUST1010,48,Male,South Jeffrey,Medium,52,4.55,5,1,10,1,0,1267,37490,2025-08-13,Home,10,55,0.87,27,12,0
CUST1011,67,Male,Lake Michael,Medium,107,4.24,4,2,6,1,18,3843,37939,2024-12-21,Grocery,0,31,0.62,10,29,1
CUST1012,29,Female,West Randy,Low,12,4.91,2,1,7,0,4,856,29342,2025-02-22,Home,6,22,0.24,13,11,0
CUST1013,32,Female,West Megan,Medium,70,2.99,1,2,8,1,3,4347,29227,2024-03-30,Grocery,18,31,0.83,21,1,1
CUST1014,18,Male,West Patrickfort,Low,82,6.44,3,0,3,1,45,1730,7547,2024-10-26,Home,9,57,0.68,46,28,0
CUST1015,49,Male,Sanchezburgh,Medium,91,5.12,5,3,10,2,17,4669,21108,2024-06-10,Home,16,8,0.15,11,17,1
CUST1016,26,Male,Sotoville,High,46,5.23,1,0,6,1,42,3558,951,2024-06-23,Home,18,31,0.54,17,29,0
CUST1017,24,Male,Allisonland,Low,83,7.14,1,1,7,2,25,2010,20678,2024-04-07,Home,6,73,0.98,38,21,0
CUST1018,44,Male,Isabellaside,Medium,13,6.2,2,1,7,1,49,178,2614,2025-04-11,Electronics,8,16,0.49,26,11,0
CUST1019,23,Male,Georgefort,Medium,99,3.58,5,0,2,1,49,4838,44098,2024-06-15,Grocery,19,21,0.12,36,13,1
CUST1020,68,Female,Lake Michaelmouth,Medium,94,5.15,2,2,10,5,49,3147,31763,2023-12-14,Home,3,16,0.56,15,9,1
CUST1021,52,Male,Lake Pedro,Low,2,5.04,7,1,1,1,2,4170,46390,2023-11-03,Home,15,58,0.09,14,6,0
CUST1022,64,Male,East Joshua,Low,97,8.42,2,2,8,0,5,590,36069,2023-11-08,Home,19,36,0.02,27,12,0
CUST1023,33,Male,South Ethanmouth,Low,9,3.9,1,2,9,1,39,3324,7806,2024-04-14,Fashion,17,53,0.9,19,23,1
CUST1024,43,Female,East Willieberg,Medium,17,7.06,4,0,5,2,20,4557,13457,2025-04-06,Fashion,11,77,0.87,8,18,0
CUST1025,60,Female,Lake Erika,Low,12,1.34,7,3,5,6,20,1608,16098,2024-03-11,Services,9,43,0.37,34,29,0
CUST1026,49,Female,South Jeffreybury,Low,16,4.53,1,1,8,1,14,4279,30270,2025-06-05,Home,18,4,0.33,25,4,1
CUST1027,30,Female,Kimberlyberg,High,4,5.72,3,1,5,3,12,3983,1345,2023-10-31,Fashion,0,40,0.96,0,7,1
CUST1028,37,Male,Lake Monicafort,High,54,7.26,5,0,6,0,12,4122,41111,2024-06-10,Grocery,5,29,0.91,6,22,1
CUST1029,43,Male,Marthafort,Low,3,6.22,3,1,5,2,29,1295,38276,2023-12-13,Electronics,17,35,0.06,11,18,1
CUST1030,53,Female,Jasontown,Medium,54,1.99,0,0,4,3,3,1143,44020,2024-04-13,Services,5,98,0.48,30,13,1
CUST1031,62,Female,South Jodi,Medium,32,2.94,3,2,5,4,27,2600,6926,2024-06-16,Electronics,12,26,0.35,2,24,0
CUST1032,52,Male,East Stephen,Medium,115,3.02,3,1,4,0,12,2158,34582,2025-07-12,Home,1,71,0.96,13,10,1
CUST1033,45,Female,North Eddieborough,Low,110,6.79,5,0,4,1,10,2348,13245,2024-11-17,Services,3,2,0.46,12,24,0
CUST1034,44,Male,Alvareztown,Medium,60,3.96,3,2,3,2,39,588,21917,2024-09-10,Home,19,33,0.48,17,17,0
CUST1035,27,Other,South Jeffrey,Low,101,5.39,1,2,10,2,5,2271,12985,2024-09-14,Fashion,10,39,0.11,33,13,1
CUST1036,24,Male,South Andrewville,Low,74,5.43,4,0,9,4,23,1883,34299,2023-10-23,Fashion,11,20,0.03,8,12,1
CUST1037,58,Other,Lake Daniel,Low,110,5.04,5,0,5,1,11,3905,43644,2023-09-17,Services,3,44,0.61,1,20,1
